ICS_ID,ORG_Entity,Lemma_Entity,Suspicious,Lemma_Cleaned,Matched_Category
00153fbd-82f7-48c4-b5bd-e830bc390244,Gene,gene,False,gene,Company / Business
00153fbd-82f7-48c4-b5bd-e830bc390244,Rady Doradczej,rada doradcze,False,rada doradcze,Government / Public Administration
00153fbd-82f7-48c4-b5bd-e830bc390244,Advisory Board,advisory board,False,advisory board,Other / Unclear
00153fbd-82f7-48c4-b5bd-e830bc390244,Facebook,facebook,False,facebook,Company / Business
00153fbd-82f7-48c4-b5bd-e830bc390244,ELSEVIER,elsevier,False,elsevier,Media / Publishing
00153fbd-82f7-48c4-b5bd-e830bc390244,Scientific Reports,scientific reports,False,scientific reports,Other / Unclear
002768f1-8b96-4e0f-bcc8-192eb0594e60,Królewskie Towarzystwo Ochrony Ptaków,królewsko towarzystwo ochrona ptak,False,królewsko towarzystwo ochrona ptak,NGO / Association / Foundation
002768f1-8b96-4e0f-bcc8-192eb0594e60,UAM,uam,False,uam,Other / Unclear
006e7fef-2083-426d-9c1b-1affd27b939e,WSPiA,wspia,False,wspia,Other / Unclear
00901439-d91a-48e0-903a-26a4253c3a0c,Archaeological Heritage Office of Saxony,archaeological heritage office of saxony,False,archaeological heritage office of saxony,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,AMS,ansy,False,ansy,Media / Publishing
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Europejską Komisję Gospodarczą ONZ,europejską komisja gospodarczy onz,False,europejską komisja gospodarczy onz,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,UNECE,unec,False,unec,International Organization / EU
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Radzie Żeglugi Śródlądowej,rada żeglugi śródlądowa,False,rada żeglugi śródlądowa,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,United Nations Economic Commission for Europe,united nations economic commission forówna europe,False,united nations economic commission forówna europe,International Organization / EU
00be555b-d946-4277-9aa3-974fbdf4a04b,Medicines for Europe,medicines forówna europe,False,medicines forówna europe,International Organization / EU
00be555b-d946-4277-9aa3-974fbdf4a04b,UKSW,uks,False,uks,Other / Unclear
00be555b-d946-4277-9aa3-974fbdf4a04b,Polski Związek Pracodawców Przemysłu Farmaceutycznego,polski związek pracodawca przemysł farmaceutyczny,False,polski związek pracodawca przemysł farmaceutyczny,NGO / Association / Foundation
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Mimnisterstwo Rolnictwa i Rozwoju Wsi,mimnisterstwo rolnictwo i rozwój wieś,False,mimnisterstwo rolnictwo i rozwój wieś,Government / Public Administration
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Zakładzie Rachunkowości Gospodarstw Rolnych,zakład rachunkowości gospodarstwo rolny,False,zakład rachunkowości gospodarstwo rolny,Other / Unclear
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,PL FADN,plac fadno,False,plac fadno,Government / Public Administration
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,MRiRW,mrirzy,False,mrirzy,Government / Public Administration
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Banki,bank,False,bank,Other / Unclear
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Związki Rolników,związek rolnik,False,związek rolnik,NGO / Association / Foundation
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,ZRGR,zr_ppuc,True,zr_ppuc,Government / Public Administration
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Komisja Europejska,komisja europejski,False,komisja europejski,Government / Public Administration
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,FADN,fadno,False,fadno,Government / Public Administration
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,IERiGŻ,ierigż,False,ierigż,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,PTH,pth,False,pth,NGO / Association / Foundation
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,MPS,miliro,False,miliro,Company / Business
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,ZG Związku Sybiraków,zedług związek sybirak,False,zedług związek sybirak,NGO / Association / Foundation
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Podlaskiego Stowarzyszenia Pamięci Zesłańców Sybiru,podlaski stowarzyszenie pamięć zesłańców sybir,False,podlaski stowarzyszenie pamięć zesłańców sybir,NGO / Association / Foundation
013eaa60-61d9-43d1-ba1c-8152276361f6,UMK,umka,False,umka,Other / Unclear
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Urząd do Spraw Kombatantów i Osób Represjonowanych,urząd do sprawa kombatant i osoba represjonowany,False,urząd do sprawa kombatant i osoba represjonowany,Government / Public Administration
0150c37c-4b67-4a47-8e28-048cbe837e67,Yara Poland Sp. z o.o.,yara poland sa . z ograniczona_odpowiedzialność .,True,yara poland s.a. z o.o.,Company / Business
0150c37c-4b67-4a47-8e28-048cbe837e67,Philips Lighting,philips lighting,False,philips lighting,Company / Business
0150c37c-4b67-4a47-8e28-048cbe837e67,INO,ino,False,ino,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,Rijk Zwaan Polska Sp. z o.o.,rijk zwaan polski sa . z ograniczona_odpowiedzialność .,True,rijk zwaan polski s.a. z o.o.,Company / Business
016c1a43-96b7-4356-8ec1-28474e541a6a,Archiwum Dormana,archiwum dormana,False,archiwum dormana,Cultural Institution / Arts
017fed8e-f11b-459c-aabc-a232f2e9154b,Agencji PR Publicon,agencja pr publicon,False,agencja pr publicon,Media / Publishing
0188586e-eb3c-4959-aade-cf1a5602786f,Centrum Targowo-Wystawienniczego Międzynarodowych Targów Szczecińskich,centrum targowo - wystawienniczy międzynarodowy targi szczeciński,False,centrum targowo - wystawienniczy międzynarodowy targi szczeciński,Government / Public Administration
0188586e-eb3c-4959-aade-cf1a5602786f,KK Wind Solutions,ka_tan winda solutions,True,ka_tan winda solutions,Company / Business
0188586e-eb3c-4959-aade-cf1a5602786f,Asahi,asahi,False,asahi,Company / Business
