ICS_ID,ORG_Entity
00153fbd-82f7-48c4-b5bd-e830bc390244,Gene
00153fbd-82f7-48c4-b5bd-e830bc390244,Rady Doradczej
00153fbd-82f7-48c4-b5bd-e830bc390244,SPRINGER
00153fbd-82f7-48c4-b5bd-e830bc390244,Komitetu Nauk Weterynaryjnych i Rozrodu Zwierząt PAN
00153fbd-82f7-48c4-b5bd-e830bc390244,Advisory Board
00153fbd-82f7-48c4-b5bd-e830bc390244,Journal of Applied Genetics
00153fbd-82f7-48c4-b5bd-e830bc390244,Facebook
00153fbd-82f7-48c4-b5bd-e830bc390244,ELSEVIER
00153fbd-82f7-48c4-b5bd-e830bc390244,Scientific Reports
002768f1-8b96-4e0f-bcc8-192eb0594e60,Królewskie Towarzystwo Ochrony Ptaków
002768f1-8b96-4e0f-bcc8-192eb0594e60,UAM
006e7fef-2083-426d-9c1b-1affd27b939e,WSPiA
00901439-d91a-48e0-903a-26a4253c3a0c,Archaeological Heritage Office of Saxony
00901439-d91a-48e0-903a-26a4253c3a0c,Cultural Heritage Department
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,AMS
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Europejską Komisję Gospodarczą ONZ
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,UNECE
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Radzie Żeglugi Śródlądowej
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,United Nations Economic Commission for Europe
00be555b-d946-4277-9aa3-974fbdf4a04b,Medicines for Europe
00be555b-d946-4277-9aa3-974fbdf4a04b,UKSW
00be555b-d946-4277-9aa3-974fbdf4a04b,Polski Związek Pracodawców Przemysłu Farmaceutycznego
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Mimnisterstwo Rolnictwa i Rozwoju Wsi
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Zakładzie Rachunkowości Gospodarstw Rolnych
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,PL FADN
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,MRiRW
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Banki
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Związki Rolników
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,ZRGR
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Komisja Europejska
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,FADN
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,IERiGŻ
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,PTH
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,MPS
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,ZG Związku Sybiraków
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Podlaskiego Stowarzyszenia Pamięci Zesłańców Sybiru
013eaa60-61d9-43d1-ba1c-8152276361f6,UMK
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Urząd do Spraw Kombatantów i Osób Represjonowanych
0150c37c-4b67-4a47-8e28-048cbe837e67,Yara Poland Sp. z o.o.
0150c37c-4b67-4a47-8e28-048cbe837e67,Instytut Biologii SGGW
0150c37c-4b67-4a47-8e28-048cbe837e67,Philips Lighting
0150c37c-4b67-4a47-8e28-048cbe837e67,INO
0150c37c-4b67-4a47-8e28-048cbe837e67,Politechnika Warszawska
0150c37c-4b67-4a47-8e28-048cbe837e67,Rijk Zwaan Polska Sp. z o.o.
016c1a43-96b7-4356-8ec1-28474e541a6a,Archiwum Dormana
017fed8e-f11b-459c-aabc-a232f2e9154b,Agencji PR Publicon
0188586e-eb3c-4959-aade-cf1a5602786f,Centrum Targowo-Wystawienniczego Międzynarodowych Targów Szczecińskich
0188586e-eb3c-4959-aade-cf1a5602786f,KK Wind Solutions
0188586e-eb3c-4959-aade-cf1a5602786f,Asahi
0188586e-eb3c-4959-aade-cf1a5602786f,KK Electronic
0188586e-eb3c-4959-aade-cf1a5602786f,Petrochemii Płock
0188586e-eb3c-4959-aade-cf1a5602786f,Kompanii Piwowarskiej
01d14c14-8282-4b6e-8086-4024e137b055,UJ
01d14c14-8282-4b6e-8086-4024e137b055,Uniwersytetu Jagiellońskiego
01fb40a7-674a-44a7-8e0d-06324491ff6c,Ośrodka Rozwoju Edukacji
01fb40a7-674a-44a7-8e0d-06324491ff6c,Szkoły Promującej Zdrowie
01fb40a7-674a-44a7-8e0d-06324491ff6c,MEiN
01fb40a7-674a-44a7-8e0d-06324491ff6c,SzPZ
01fb40a7-674a-44a7-8e0d-06324491ff6c,ORE
01fb40a7-674a-44a7-8e0d-06324491ff6c,Wydział Pedagogiczny UW
021216ce-bda7-4662-8399-c777c57d2779,Muzeum Historii Żydów Polskich POLIN
021216ce-bda7-4662-8399-c777c57d2779,Wirtualny Sztetl
02296ce6-c6f7-48cf-9179-68a865c9db2d,RCIN
02296ce6-c6f7-48cf-9179-68a865c9db2d,IBL
02296ce6-c6f7-48cf-9179-68a865c9db2d,Repozytorium Cyfrowe Instytutów Naukowych
02296ce6-c6f7-48cf-9179-68a865c9db2d,IBL PAN
027d00df-6df1-45b3-b656-b3dce6d2ff51,Ministerstwa Finansów
027d00df-6df1-45b3-b656-b3dce6d2ff51,Zakładu Ubezpieczeń Społecznych
02a466ea-c64e-4c35-bb90-4af8af5b2b5f,Komisja Europejska
02b3f0f1-1f26-416a-bf34-b23da0637c74,Instytucie Socjologii UG
02b3f0f1-1f26-416a-bf34-b23da0637c74,Instytut Socjologii UG
02b3f0f1-1f26-416a-bf34-b23da0637c74,Gdańskim Wydawnictwem Psychologicznym
02c005d3-2291-4cea-bfd5-f5cf9e555d98,Kancelarii Prezydenta RP
02c005d3-2291-4cea-bfd5-f5cf9e555d98,Polskiego Radia
02c005d3-2291-4cea-bfd5-f5cf9e555d98,TVN24
02c005d3-2291-4cea-bfd5-f5cf9e555d98,Instytutu Pamięci Narodowej
02c005d3-2291-4cea-bfd5-f5cf9e555d98,Ministerstwo Nauki i Szkolnictwa Wyższego
02c005d3-2291-4cea-bfd5-f5cf9e555d98,tvn24.pl
02ccc353-72f3-4e48-b9a1-a7688835d32b,Ministerstwa Edukacji Narodowej
