ICS_ID,ORG_Entity,Matched_Category
00153fbd-82f7-48c4-b5bd-e830bc390244,Med,
00153fbd-82f7-48c4-b5bd-e830bc390244,NATURE,
00901439-d91a-48e0-903a-26a4253c3a0c,Inter,
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,śródląd,
00be555b-d946-4277-9aa3-974fbdf4a04b,Maxa,
00be555b-d946-4277-9aa3-974fbdf4a04b,INFARMA,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Biuletynu Historii Pogranicza,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybir,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Zesłaniec,
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Dz.U,
014e7d4e-524b-4ed6-9bbf-37a69ac17746,5 Wileńskiej Brygady,
0150c37c-4b67-4a47-8e28-048cbe837e67,sty,
0150c37c-4b67-4a47-8e28-048cbe837e67,tut Ogrodnictwa w,
0150c37c-4b67-4a47-8e28-048cbe837e67,erniewic,
0150c37c-4b67-4a47-8e28-048cbe837e67,za Żaden Poland Sp. z.o.o.,
0150c37c-4b67-4a47-8e28-048cbe837e67,rupa Producencka VegaPOL,
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Budyta,
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Kociszewski,
0150c37c-4b67-4a47-8e28-048cbe837e67,Citronex,
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O.Łotwa,
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Kazach,
0188586e-eb3c-4959-aade-cf1a5602786f,Manufaktury,
0188586e-eb3c-4959-aade-cf1a5602786f,Cyfry +,
0188586e-eb3c-4959-aade-cf1a5602786f,Plebiscy,
01fb40a7-674a-44a7-8e0d-06324491ff6c,Centralnej Kapituły,
02296ce6-c6f7-48cf-9179-68a865c9db2d,Biuletyn Polonistyczny,
02296ce6-c6f7-48cf-9179-68a865c9db2d,OpenEdition,
02296ce6-c6f7-48cf-9179-68a865c9db2d,CIN,
02b3f0f1-1f26-416a-bf34-b23da0637c74,Dbam o Mój Z@sięg,
02c005d3-2291-4cea-bfd5-f5cf9e555d98,Order,
02ccc353-72f3-4e48-b9a1-a7688835d32b,TechTrends,
