ICS_ID,ORG_Entity,Cleaned_Entity,entity_lower,Is_Academic,Lemma_Entity,Lemma_Cleaned,Matched_Category
002768f1-8b96-4e0f-bcc8-192eb0594e60,„Grupa EkoLogiczna”,Grupa EkoLogiczna,grupa ekologiczna,False,grupa ekologiczna,grupa ekologiczna,Company / Business
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Ministerstwa Gospodarki Morskiej i Żeglugi Śródlądowej,Ministerstwa Gospodarki Morskiej i Żeglugi Śródlądowej,ministerstwa gospodarki morskiej i żeglugi śródlądowej,False,ministerstwo gospodarka morski i żeglugi śródlądowa,ministerstwo gospodarka morski i żeglugi śródlądowa,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Ministrów,Ministrów,ministrów,False,minister,minister,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Ministerstwem właściw,Ministerstwem właściw,ministerstwem właściw,False,ministerstwo właściw,ministerstwo właściw,Government / Public Administration
00be555b-d946-4277-9aa3-974fbdf4a04b,"Izba Gospodarcza ""FARMACJA POLSKA","Izba Gospodarcza ""FARMACJA POLSKA","izba gospodarcza ""farmacja polska",False,"izba gospodarcza "" farmacja Polska","izba gospodarcza "" farmacja Polska",Government / Public Administration
00be555b-d946-4277-9aa3-974fbdf4a04b,Związek Pracodawców Innowacyjnych Firm Farmaceutycznych,Związek Pracodawców Innowacyjnych Firm Farmaceutycznych,związek pracodawców innowacyjnych firm farmaceutycznych,False,związek pracodawca innowacyjny firm farmaceutycznych,związek pracodawca innowacyjny firm farmaceutycznych,NGO / Association / Foundation
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Fundacji Kresy-Syberia,Fundacji Kresy-Syberia,fundacji kresy-syberia,False,fundacja kresy - syberia,fundacja kresy - syberia,NGO / Association / Foundation
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Muzeum II,Muzeum II,muzeum ii,False,muzeum II,muzeum II,Cultural Institution / Arts
0188586e-eb3c-4959-aade-cf1a5602786f,Remondis sp. z o.o,Remondis sp. z o.o,remondis sp. z o.o,False,remondis sa . z ograniczona_odpowiedzialność,remondis s.a. z o.o.,Company / Business
0188586e-eb3c-4959-aade-cf1a5602786f,kk-group,kk-group,kk-group,False,ka_tan - group,ka_tan - group,Company / Business
0188586e-eb3c-4959-aade-cf1a5602786f,Organizacji Pozarządowych,Organizacji Pozarządowych,organizacji pozarządowych,False,organizacja pozarządowy,organizacja pozarządowy,Government / Public Administration
01fb40a7-674a-44a7-8e0d-06324491ff6c,Zespół ds. Promocji Zdrowia w Szkole,Zespół ds. Promocji Zdrowia w Szkole,zespół ds. promocji zdrowia w szkole,False,zespół do_spraw . promocja zdrowie w szkoła,zespół ds. promocja zdrowie w szkoła,Health / Hospitals / Medical
02c005d3-2291-4cea-bfd5-f5cf9e555d98,polskieradio,polskieradio,polskieradio,False,polskieradio,polskieradio,Media / Publishing
031c7df7-f84a-4322-bccf-eb23191e5d13,Scientific-Practical Museum-Laboratory,Scientific-Practical Museum-Laboratory,scientific-practical museum-laboratory,False,scientific - practical museum - laboratory,scientific - practical museum - laboratory,Cultural Institution / Arts
0333ac8f-0dec-4502-b723-bb2ebd27e77f,European Association for the Study of the Liver,European Association for the Study of the Liver,european association for the study of the liver,False,european Association forówna the study of the liver,european Association forówna the study of the liver,NGO / Association / Foundation
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,ł Zbrojnych RP,ł Zbrojnych RP,ł zbrojnych rp,False,jarzopta zbrojny RP,jarzopta zbrojny RP,Government / Public Administration
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,resortu obrony narodowej,resortu obrony narodowej,resortu obrony narodowej,False,resort obrona narodowy,resort obrona narodowy,Government / Public Administration
037866ed-21b4-458f-b658-01cd38331324,Oddział Polskiego Towarzystwa Historycznego,Oddział Polskiego Towarzystwa Historycznego,oddział polskiego towarzystwa historycznego,False,oddział polski towarzystwo historyczny,oddział polski towarzystwo historyczny,NGO / Association / Foundation
037866ed-21b4-458f-b658-01cd38331324,Wydawnictwa,Wydawnictwa,wydawnictwa,False,wydawnictwo,wydawnictwo,Media / Publishing
03821e3d-73e7-41d3-a2b0-7cf96b6a1236,European Environment Agency,European Environment Agency,european environment agency,False,european environment agency,european environment agency,International Organization / EU
03821e3d-73e7-41d3-a2b0-7cf96b6a1236,United Nations,United Nations,united nations,False,United nations,United nations,International Organization / EU
03c05ae8-25f0-4b27-ae9e-8f7e203246a8,uni,uni,uni,False,unia,unia,International Organization / EU
041ae256-acbc-40f6-a067-cecfa8dd68f4,Technologi,Technologi,technologi,False,technologi,technologi,Company / Business
05348605-ac86-4f33-b7c2-c2a1c32217de,Europejskiej,Europejskiej,europejskiej,False,europejski,europejski,International Organization / EU
05412fa3-afb4-4791-b227-cb8dcc762465,łódzkiej Szkoły Filmowej,łódzkiej Szkoły Filmowej,łódzkiej szkoły filmowej,False,łódzki szkoła filmowa,łódzki szkoła filmowa,Cultural Institution / Arts
05889807-e21b-4efe-8ec1-ba1ee3c79fe6,Międzynarodowej grupy badawcze,Międzynarodowej grupy badawcze,międzynarodowej grupy badawcze,False,międzynarodowy grupa badawczy,międzynarodowy grupa badawczy,Government / Public Administration
05cfce2d-3eb8-4f5b-a50d-1403186f06b0,Radzie Progr.,Radzie Progr.,radzie progr.,False,rada progr .,rada progr .,Government / Public Administration
05cfce2d-3eb8-4f5b-a50d-1403186f06b0,Kraj. Izba Producentów Audiowiz.,Kraj. Izba Producentów Audiowiz.,kraj. izba producentów audiowiz.,False,kraj . izba producent audiowiz .,kraj . izba producent audiowiz .,Government / Public Administration
05cfce2d-3eb8-4f5b-a50d-1403186f06b0,Min. Edukacji,Min. Edukacji,min. edukacji,False,min . edukacja,min . edukacja,Education (non-university)
05de10ff-f49a-4ae9-a488-855f9273d25c,Rinnovamento nello Spirito Santo,Rinnovamento nello Spirito Santo,rinnovamento nello spirito santo,False,rinnovamento nello spirito santo,rinnovamento nello spirito santo,NGO / Association / Foundation
05fb8709-b7e6-4284-b643-b13a2bfe05ee,Lokalna Grupa Działania „Gościnna Wielkopolska,Lokalna Grupa Działania „Gościnna Wielkopolska,lokalna grupa działania „gościnna wielkopolska,False,lokalna grupa działanie „ gościnna wielkopolski,lokalna grupa działanie „ gościnna wielkopolski,Company / Business
060e8bd4-6836-4d44-9c0d-cd0a5f74b8d7,Głównemu Inspektoratowi Ochrony Środowiska,Głównemu Inspektoratowi Ochrony Środowiska,głównemu inspektoratowi ochrony środowiska,False,głównem inspektorat ochrona środowisko,głównem inspektorat ochrona środowisko,Government / Public Administration
06e27eda-694f-4b93-9365-a6edcc7eac1d,tyka w Szkole,tyka w Szkole,tyka w szkole,False,tykać w szkoła,tykać w szkoła,Education (non-university)
06e4cdef-1817-478a-b300-50c4c3e00b45,Szpitalem Specjalistycznym,Szpitalem Specjalistycznym,szpitalem specjalistycznym,False,szpital specjalistyczny,szpital specjalistyczny,Health / Hospitals / Medical
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,sp. z o.o.,sp. z o.o.,sp. z o.o.,False,sa . z ograniczona_odpowiedzialność .,s.a. z o.o.,Company / Business
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,m Ośrodkiem Pomocy Społecznej,m Ośrodkiem Pomocy Społecznej,m ośrodkiem pomocy społecznej,False,być ośrodek pomoc społeczny,być ośrodek pomoc społeczny,NGO / Association / Foundation
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,Minister,Minister,minister,False,minister,minister,Government / Public Administration
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,wu Edukacji i Kultury,wu Edukacji i Kultury,wu edukacji i kultury,False,wu edukacja i kultura,wu edukacja i kultura,Cultural Institution / Arts
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,Education & Information Technology Centre,Education & Information Technology Centre,education & information technology centre,False,education & information Technology centre,education & information Technology centre,Company / Business
06ecbbeb-a9a6-405f-94b3-a6fb0c9f7bc6,Starostwo Powiatowe w Przysus,Starostwo Powiatowe w Przysus,starostwo powiatowe w przysus,False,starostwo powiatowe w przysus,starostwo powiatowe w przysus,Government / Public Administration
07057f07-89f3-442c-9c1a-c0b8758b516e,dziale Zarządzania i Modelowania Komputerowego,dziale Zarządzania i Modelowania Komputerowego,dziale zarządzania i modelowania komputerowego,False,dział zarządzanie i modelowanie komputerowego,dział zarządzanie i modelowanie komputerowego,Government / Public Administration
07574562-5d88-4aa3-8db3-705f01b8d3fb,Teatrze The Globe,Teatrze The Globe,teatrze the globe,False,teatr The globe,teatr The globe,Cultural Institution / Arts
08276264-cec6-411f-858e-e362c3b7a901,Pary Prezydenckiej RP,Pary Prezydenckiej RP,pary prezydenckiej rp,False,pary prezydencka RP,pary prezydencka RP,Government / Public Administration
08276264-cec6-411f-858e-e362c3b7a901,Muzeum Narodowego w,Muzeum Narodowego w,muzeum narodowego w,False,muzeum narodowy w,muzeum narodowy w,Government / Public Administration
084e1ea3-81f9-4bf1-a35c-b995856a6292,OptiNav sp. z o.o,OptiNav sp. z o.o,optinav sp. z o.o,False,optinav sa . z ograniczona_odpowiedzialność,optinav s.a. z o.o.,Company / Business
08a3e25a-22a0-479e-9705-97baed9dbf3f,stwowa Inspekcja Sanitarna,stwowa Inspekcja Sanitarna,stwowa inspekcja sanitarna,False,stwowa inspekcja sanitarna,stwowa inspekcja sanitarna,Government / Public Administration
08f0dcc0-8c8b-4969-b498-6b10709a5f72,ur Informacji Turystycznych,ur Informacji Turystycznych,ur informacji turystycznych,False,uż informacja turystyczny,uż informacja turystyczny,Government / Public Administration
08f0dcc0-8c8b-4969-b498-6b10709a5f72,Informacji Turystycznej,Informacji Turystycznej,informacji turystycznej,False,informacja turystyczna,informacja turystyczna,Government / Public Administration
08f0dcc0-8c8b-4969-b498-6b10709a5f72,ur Informacji Turystycznej,ur Informacji Turystycznej,ur informacji turystycznej,False,uż informacja turystyczna,uż informacja turystyczna,Government / Public Administration
08f0dcc0-8c8b-4969-b498-6b10709a5f72,Vienne-Condrieu Tourisme,Vienne-Condrieu Tourisme,vienne-condrieu tourisme,False,vienne - condrieu tourisme,vienne - condrieu tourisme,Government / Public Administration
08f0dcc0-8c8b-4969-b498-6b10709a5f72,dèche-Hermitage Tourisme,dèche-Hermitage Tourisme,dèche-hermitage tourisme,False,dèche - hermitage tourisme,dèche - hermitage tourisme,Government / Public Administration
08f0dcc0-8c8b-4969-b498-6b10709a5f72,Rhône Crussol Tourisme,Rhône Crussol Tourisme,rhône crussol tourisme,False,rhône crussol tourisme,rhône crussol tourisme,Government / Public Administration
091baf86-8da2-491c-9c8b-53e13bbb79e8,wydawnictwa,wydawnictwa,wydawnictwa,False,wydawnictwo,wydawnictwo,Media / Publishing
09de88a8-93ed-42dc-9050-37eb12bae060,Europejskiego Centrum Muz,Europejskiego Centrum Muz,europejskiego centrum muz,False,europejski centrum muz,europejski centrum muz,International Organization / EU
0a4a6cec-05d2-4de0-8168-fa0a4b423528,Rzecz o innowacjach,Rzecz o innowacjach,rzecz o innowacjach,False,rzecz o innowacja,rzecz o innowacja,NGO / Association / Foundation
0a88ad9c-4b17-4772-871a-bb16c557f127,"cka Agencja ds. MŚP, Innowacji i Inwestycji","cka Agencja ds. MŚP, Innowacji i Inwestycji","cka agencja ds. mśp, innowacji i inwestycji",False,"cko agencja do_spraw . MŚP , innowacji i inwestycji","cko agencja ds. MŚP , innowacji i inwestycji",Government / Public Administration
0a88ad9c-4b17-4772-871a-bb16c557f127,Zarząd,Zarząd,zarząd,False,zarząd,zarząd,Government / Public Administration
0acaeeae-4f1c-411b-ac33-8f752b6bfd86,Starostwa Powiatowego,Starostwa Powiatowego,starostwa powiatowego,False,starostwo powiatowy,starostwo powiatowy,Government / Public Administration
0acaeeae-4f1c-411b-ac33-8f752b6bfd86,Resort obrony narodowej,Resort obrony narodowej,resort obrony narodowej,False,resort obrona narodowy,resort obrona narodowy,Government / Public Administration
