ICS_ID,ORG_Entity,Cleaned_Entity,entity_lower,Is_Academic,Lemma_Entity,Lemma_Cleaned,Matched_Category
00153fbd-82f7-48c4-b5bd-e830bc390244,Med,Med,med,False,med,med,Other / Unclear
00153fbd-82f7-48c4-b5bd-e830bc390244,NATURE,NATURE,nature,False,nature,nature,Other / Unclear
00901439-d91a-48e0-903a-26a4253c3a0c,Inter,Inter,inter,False,inter,inter,Other / Unclear
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,śródląd,śródląd,śródląd,False,śródląd,śródląd,Other / Unclear
00be555b-d946-4277-9aa3-974fbdf4a04b,Maxa,Maxa,maxa,False,Max,Max,Other / Unclear
00be555b-d946-4277-9aa3-974fbdf4a04b,INFARMA,INFARMA,infarma,False,infarma,infarma,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Biuletynu Historii Pogranicza,Biuletynu Historii Pogranicza,biuletynu historii pogranicza,False,biuletyn historia pogranicza,biuletyn historia pogranicza,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybir,Sybir,sybir,False,sybir,sybir,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Zesłaniec,Zesłaniec,zesłaniec,False,zesłaniec,zesłaniec,Other / Unclear
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Dz.U,Dz.U,dz.u,False,Dz . u,Dz . u,Other / Unclear
014e7d4e-524b-4ed6-9bbf-37a69ac17746,5 Wileńskiej Brygady,5 Wileńskiej Brygady,5 wileńskiej brygady,False,5 wileńsko brygada,5 wileńsko brygada,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,sty,sty,sty,False,sty,sty,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,tut Ogrodnictwa w,tut Ogrodnictwa w,tut ogrodnictwa w,False,tut ogrodnictwo w,tut ogrodnictwo w,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,erniewic,erniewic,erniewic,False,erniewic,erniewic,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,za Żaden Poland Sp. z.o.o.,za Żaden Poland Sp. z.o.o.,za żaden poland sp. z.o.o.,False,za żaden poland Sp . z.o.o .,za żaden poland Sp . z.o.o. .,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,rupa Producencka VegaPOL,rupa Producencka VegaPOL,rupa producencka vegapol,False,rupa producencka vegapol,rupa producencka vegapol,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Budyta,G.O. Budyta,g.o. budyta,False,G. o . budyta,G. o . budyta,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Kociszewski,G.O. Kociszewski,g.o. kociszewski,False,G . o . kociszewski,G . o . kociszewski,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,Citronex,Citronex,citronex,False,citronex,citronex,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O.Łotwa,G.O.Łotwa,g.o.łotwa,False,gio . łotwa,gio . łotwa,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Kazach,G.O. Kazach,g.o. kazach,False,G. o . kaza,G. o . kaza,Other / Unclear
0188586e-eb3c-4959-aade-cf1a5602786f,Manufaktury,Manufaktury,manufaktury,False,manufaktura,manufaktura,Other / Unclear
0188586e-eb3c-4959-aade-cf1a5602786f,Cyfry +,Cyfry,cyfry,False,cyfry,cyfry,Other / Unclear
0188586e-eb3c-4959-aade-cf1a5602786f,Plebiscy,Plebiscy,plebiscy,False,plebiscy,plebiscy,Other / Unclear
01fb40a7-674a-44a7-8e0d-06324491ff6c,Centralnej Kapituły,Centralnej Kapituły,centralnej kapituły,False,centralny kapituły,centralny kapituły,Other / Unclear
02296ce6-c6f7-48cf-9179-68a865c9db2d,Biuletyn Polonistyczny,Biuletyn Polonistyczny,biuletyn polonistyczny,False,biuletyn polonistyczny,biuletyn polonistyczny,Other / Unclear
02296ce6-c6f7-48cf-9179-68a865c9db2d,OpenEdition,OpenEdition,openedition,False,openedition,openedition,Other / Unclear
