ICS_ID,ORG_Entity
00153fbd-82f7-48c4-b5bd-e830bc390244,Med
00153fbd-82f7-48c4-b5bd-e830bc390244,We
00153fbd-82f7-48c4-b5bd-e830bc390244,ry
00153fbd-82f7-48c4-b5bd-e830bc390244,NATURE
00153fbd-82f7-48c4-b5bd-e830bc390244,Ze
00153fbd-82f7-48c4-b5bd-e830bc390244,Katedr
002768f1-8b96-4e0f-bcc8-192eb0594e60,Zakładu Biologii i Ekologii Ptaków UAM
002768f1-8b96-4e0f-bcc8-192eb0594e60,„Grupa EkoLogiczna”
00901439-d91a-48e0-903a-26a4253c3a0c,Inter
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Ministerstwa Gospodarki Morskiej i Żeglugi Śródlądowej
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Ministrów
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,GN
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Ministerstwem właściw
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,śródląd
00be555b-d946-4277-9aa3-974fbdf4a04b,Maxa
00be555b-d946-4277-9aa3-974fbdf4a04b,"Izba Gospodarcza ""FARMACJA POLSKA"
00be555b-d946-4277-9aa3-974fbdf4a04b,Związek Pracodawców Innowacyjnych Firm Farmaceutycznych
00be555b-d946-4277-9aa3-974fbdf4a04b,INFARMA
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Ł
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,omżyńskiego Towarzystwa Naukowego
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Fundacji Kresy-Syberia
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Biuletynu Historii Pogranicza
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybir
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Zesłaniec
013eaa60-61d9-43d1-ba1c-8152276361f6,In
013eaa60-61d9-43d1-ba1c-8152276361f6,stytucie Medycyny Weterynaryjnej UMK
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Dz.U
014e7d4e-524b-4ed6-9bbf-37a69ac17746,5 Wileńskiej Brygady
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Ł
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Muzeum II
0150c37c-4b67-4a47-8e28-048cbe837e67,u Nauk Ogrodniczych
0150c37c-4b67-4a47-8e28-048cbe837e67,In
0150c37c-4b67-4a47-8e28-048cbe837e67,sty
0150c37c-4b67-4a47-8e28-048cbe837e67,tut Ogrodnictwa w
0150c37c-4b67-4a47-8e28-048cbe837e67,erniewic
0150c37c-4b67-4a47-8e28-048cbe837e67,En
0150c37c-4b67-4a47-8e28-048cbe837e67,za Żaden Poland Sp. z.o.o.
0150c37c-4b67-4a47-8e28-048cbe837e67,G
0150c37c-4b67-4a47-8e28-048cbe837e67,rupa Producencka VegaPOL
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Budyta
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Kociszewski
0150c37c-4b67-4a47-8e28-048cbe837e67,Citronex
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O.Łotwa
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Kazach
0188586e-eb3c-4959-aade-cf1a5602786f,Remondis sp. z o.o
0188586e-eb3c-4959-aade-cf1a5602786f,Manufaktury
0188586e-eb3c-4959-aade-cf1a5602786f,kk-group
0188586e-eb3c-4959-aade-cf1a5602786f,Cyfry +
0188586e-eb3c-4959-aade-cf1a5602786f,Plebiscy
0188586e-eb3c-4959-aade-cf1a5602786f,Organizacji Pozarządowych
01fb40a7-674a-44a7-8e0d-06324491ff6c,PZ
01fb40a7-674a-44a7-8e0d-06324491ff6c,Centralnej Kapituły
01fb40a7-674a-44a7-8e0d-06324491ff6c,Zespół ds. Promocji Zdrowia w Szkole
02296ce6-c6f7-48cf-9179-68a865c9db2d,Biuletyn Polonistyczny
02296ce6-c6f7-48cf-9179-68a865c9db2d,In
02296ce6-c6f7-48cf-9179-68a865c9db2d,OpenEdition
02296ce6-c6f7-48cf-9179-68a865c9db2d,CIN
02b3f0f1-1f26-416a-bf34-b23da0637c74,Dbam o Mój Z@sięg
02c005d3-2291-4cea-bfd5-f5cf9e555d98,polskieradio
02c005d3-2291-4cea-bfd5-f5cf9e555d98,Order
02ccc353-72f3-4e48-b9a1-a7688835d32b,Zespołu Pedagogiki Me-dialnej
02ccc353-72f3-4e48-b9a1-a7688835d32b,KNP PAN
02ccc353-72f3-4e48-b9a1-a7688835d32b,TechTrends
030911a4-6da1-418c-9abd-875109a804e4,interia.pl
030911a4-6da1-418c-9abd-875109a804e4,gość.pl
030911a4-6da1-418c-9abd-875109a804e4,natemat.pl
030911a4-6da1-418c-9abd-875109a804e4,niedziela.pl
030911a4-6da1-418c-9abd-875109a804e4,Państwowego Uniwersytetu
030911a4-6da1-418c-9abd-875109a804e4,Ży
031c7df7-f84a-4322-bccf-eb23191e5d13,Scientific-Practical Museum-Laboratory
031c7df7-f84a-4322-bccf-eb23191e5d13,Khoja Akhmet Yassawi International Kazakh-Turkish University
0333ac8f-0dec-4502-b723-bb2ebd27e77f,Ann Transpl
0333ac8f-0dec-4502-b723-bb2ebd27e77f,European Association for the Study of the Liver
0333ac8f-0dec-4502-b723-bb2ebd27e77f,World J
0333ac8f-0dec-4502-b723-bb2ebd27e77f,Ann Surg Onc
0333ac8f-0dec-4502-b723-bb2ebd27e77f,Ann Surg
0333ac8f-0dec-4502-b723-bb2ebd27e77f,Sci Rep
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,P5
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,Si
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,ł Zbrojnych RP
033c8a5e-2fc4-43c2-9035-1804f21e9cc1,resortu obrony narodowej
037866ed-21b4-458f-b658-01cd38331324,Oddział Polskiego Towarzystwa Historycznego
037866ed-21b4-458f-b658-01cd38331324,Wydział Historyczny
037866ed-21b4-458f-b658-01cd38331324,Wydawnictwa
03821e3d-73e7-41d3-a2b0-7cf96b6a1236,Journal of Glaciology
03821e3d-73e7-41d3-a2b0-7cf96b6a1236,World Meteorological Organization
03821e3d-73e7-41d3-a2b0-7cf96b6a1236,U.S. Global Change Research Program
03821e3d-73e7-41d3-a2b0-7cf96b6a1236,C
03821e3d-73e7-41d3-a2b0-7cf96b6a1236,European Environment Agency
03821e3d-73e7-41d3-a2b0-7cf96b6a1236,D
03821e3d-73e7-41d3-a2b0-7cf96b6a1236,United Nations
03821e3d-73e7-41d3-a2b0-7cf96b6a1236,UNF
03c05ae8-25f0-4b27-ae9e-8f7e203246a8,Uniwersytetem Alberta Ludwika
03c05ae8-25f0-4b27-ae9e-8f7e203246a8,uni
03c05ae8-25f0-4b27-ae9e-8f7e203246a8,S
03c05ae8-25f0-4b27-ae9e-8f7e203246a8,zkołę
03db09ca-7713-4417-8a39-8cdcdd4b0b2e,U
041ae256-acbc-40f6-a067-cecfa8dd68f4,Nauk
041ae256-acbc-40f6-a067-cecfa8dd68f4,Technologi
042d49da-c94a-45fa-a76e-34f1b5133e53,Akademia Morska
044f160a-e4a0-46e0-88c6-02cc0859ee0d,Zespo
044f160a-e4a0-46e0-88c6-02cc0859ee0d,łu naukowego PWr
044f160a-e4a0-46e0-88c6-02cc0859ee0d,ACCREA Bartłomiej Stanczyk
044f160a-e4a0-46e0-88c6-02cc0859ee0d,YouTube
04a35915-91e4-499b-8e37-c53ce6948919,RADWAR SA.
04a35915-91e4-499b-8e37-c53ce6948919,F
04a35915-91e4-499b-8e37-c53ce6948919,RONTEX
04a6d3cb-93f0-4535-b923-4515cb01d780,S
04a6d3cb-93f0-4535-b923-4515cb01d780,YSMEL
04a6d3cb-93f0-4535-b923-4515cb01d780,+
04e099a7-5c21-4129-a623-091886cc113d,Uniwersytecie Witolda Wielkiego
04e099a7-5c21-4129-a623-091886cc113d,Uniwersytecie
04e099a7-5c21-4129-a623-091886cc113d,Uniwersytetu Humanistyczno-Przyrodniczego im.
04e099a7-5c21-4129-a623-091886cc113d,Długos
04f6836e-0f80-48d3-b64d-37bd4949ffa3,owi
04f6836e-0f80-48d3-b64d-37bd4949ffa3,zor
04f6836e-0f80-48d3-b64d-37bd4949ffa3,Badawczy
