ORG_Entity,Lemma_Entity,Suspicious,Lemma_Cleaned,Matched_Category
POPW,popwo,False,popwo,Government / Public Administration
DG REGIO,do_tar regio,True,DG regio,International Organization / EU
RILEM,rilem,False,rilem,International Organization / EU
EFOE,efoe,False,efoe,Other / Unclear
Aiut,aiut,False,aiut,Company / Business
Urzędem Miasta Sulejówek,urząd miasto sulejówek,False,urząd miasto sulejówek,Government / Public Administration
Grupa INCO S.A.,grupa inco s.a .,False,grupa inco s.a.,Company / Business
WARBUD S.A.,warbud s.a .,False,warbud s.a.,Company / Business
ZIGUL S.A.,ziguc s.a .,False,ziguc s.a.,Company / Business
Idealia,idealia,False,idealia,Company / Business
Biblioteki Jagiellońskiej,biblioteka jagielloński,False,biblioteka jagielloński,Education (non-university)
UEMS,uems,False,uems,International Organization / EU
TMT’s,tmt’s,False,tmt’s,Other / Unclear
Advisory Board,advisory board,False,advisory board,Other / Unclear
Polskiego Radia,polski radio,False,polski radio,Media / Publishing
SSRN,sodpypcpypi,False,sodpypcpypi,Media / Publishing
Bloomberga,bloomberga,False,bloomberga,Media / Publishing
IWNiRZ,iwnirz,False,iwnirz,Other / Unclear
IGiG UPWr,igig upwr,False,igig upwr,Other / Unclear
SBWPwP,sbwpwp,False,sbwpwp,Other / Unclear
Zero-G studio,zero -ektag studio,False,zero -ektag studio,Cultural Institution / Arts
Klastra Obróbki Metali,klastra obróbka metal,False,klastra obróbka metal,Company / Business
Polskiego Stowarzyszenia Montessori,polski stowarzyszenie montessori,False,polski stowarzyszenie montessori,NGO / Association / Foundation
QNA Technology Spółka z.o.o.,qno technology spółka z.o.o .,False,qno technology spółka z.o.o. .,Company / Business
Ministerstwa Rolnictwa,ministerstwo rolnictwo,False,ministerstwo rolnictwo,Government / Public Administration
WIM,wim,False,wim,Military / Defense / Security
Inspekcja Handlowa,inspekcja handlowy,False,inspekcja handlowy,Government / Public Administration
Teatr Polski,teatr polski,False,teatr polski,Cultural Institution / Arts
DCTDA,dctda,False,dctda,Company / Business
Zarząd Morskich Portów Szczecin,zarząd morski port szczecin,False,zarząd morski port szczecin,Government / Public Administration
LDL,lietącpykła,False,lietącpykła,Other / Unclear
Komisji ds. Przeciwdziałania Mobbingowi,komisja do_spraw . przeciwdziałać mobbing,True,komisja ds. przeciwdziałać mobbing,Government / Public Administration
IHAR-PIB,ihar - pib,False,ihar - pib,Other / Unclear
Eurostatu,eurostat,False,eurostat,International Organization / EU
Migrant Info Point,migrant info point,False,migrant info point,NGO / Association / Foundation
KFiIM,kfiim,False,kfiim,Other / Unclear
EIE,eie,False,eie,Other / Unclear
Ministry of Development,ministry of development,False,ministry of development,Government / Public Administration
Rady Transportu Aglomeracyjnego,rada transport aglomeracyjny,False,rada transport aglomeracyjny,Government / Public Administration
BOHAMET,bohamet,False,bohamet,Company / Business
Centrum Kształcenia Ustawicznego,centrum kształcenie ustawiczny,False,centrum kształcenie ustawiczny,Education (non-university)
PGE Elektrowni Turów,pa elektrownia tur,False,pa elektrownia tur,Company / Business
GUS,gus,False,gus,Government / Public Administration
Garment,garment,False,garment,Company / Business
IASE Sp. z o.o.,iase sa . z ograniczona_odpowiedzialność .,True,iase s.a. z o.o.,Company / Business
Komisja Spraw Konstytucyjnych PE,komisja sprawa konstytucyjny pe,False,komisja sprawa konstytucyjny pe,Government / Public Administration
Związek Sybiraków,związek sybirak,False,związek sybirak,NGO / Association / Foundation
JYU,jyu,False,jyu,Other / Unclear
PWRUL,pwrul,False,pwrul,Other / Unclear
ŁOM,łom,False,łom,Cultural Institution / Arts
Zespołu Eksperckiego,zespół ekspercki,False,zespół ekspercki,Other / Unclear
SYSABA,sysaba,False,sysaba,Other / Unclear
Generalnej Dyrekcji Służby Więziennej,generalny dyrekcja służba więzienna,False,generalny dyrekcja służba więzienna,Government / Public Administration
RES,res,False,res,Education (non-university)
Teatr Stary,teatr stary,False,teatr stary,Cultural Institution / Arts
GALOIS,galois,False,galois,Other / Unclear
Nissan,nissan,False,nissan,Company / Business
Urzędu Żeglugi Śródlądowej,urząd żeglugi śródlądowa,False,urząd żeglugi śródlądowa,Government / Public Administration
Państwowe Muzeum Etnograficzne w Warszawie,państwowy muzeum etnograficzne w warszawie,False,państwowy muzeum etnograficzne w warszawie,Government / Public Administration
Stowarzyszenie Centrum Innowacji Społeczeństwa Informacyjnego,stowarzyszenie centrum innowacja społeczeństwo informacyjny,False,stowarzyszenie centrum innowacja społeczeństwo informacyjny,NGO / Association / Foundation
CPT ABW,cit abw,False,cit abw,Government / Public Administration
Grupie Krakowskiej,grupa krakowski,False,grupa krakowski,Company / Business
OPBR,optpinka,False,optpinka,Other / Unclear
IFP UZ,i__ymed uz,True,i__ymed uz,Other / Unclear
QNA,qno,False,qno,Other / Unclear
Strefa Kultury Wrocław,strefa kultura wrocław,False,strefa kultura wrocław,Cultural Institution / Arts
NOT,not,False,not,NGO / Association / Foundation
Dr Green Sp. z o.o.,doktor green sa . z ograniczona_odpowiedzialność .,True,doktor green s.a. z o.o.,Company / Business
Google Brain,google braini,False,google braini,Company / Business
Wojska Specjalne,wojsko specjalny,False,wojsko specjalny,Military / Defense / Security
Komisji ds. Zamówień Publicznych ŚZGiP,komisja do_spraw . zamówienie publiczny śzgip,True,komisja ds. zamówienie publiczny śzgip,Government / Public Administration
ISW,inity,False,inity,Company / Business
