ICS_ID,ORG_Entity,Matched_Category
00153fbd-82f7-48c4-b5bd-e830bc390244,Gene,Company / Business
00153fbd-82f7-48c4-b5bd-e830bc390244,Med,Health / Hospitals / Medical
00153fbd-82f7-48c4-b5bd-e830bc390244,Scientific Reports,Other / Unclear
00153fbd-82f7-48c4-b5bd-e830bc390244,ELSEVIER,Media / Publishing
00153fbd-82f7-48c4-b5bd-e830bc390244,NATURE,Media / Publishing
00153fbd-82f7-48c4-b5bd-e830bc390244,Advisory Board,Other / Unclear
00153fbd-82f7-48c4-b5bd-e830bc390244,Rady Doradczej,Government / Public Administration
00153fbd-82f7-48c4-b5bd-e830bc390244,Facebook,Company / Business
002768f1-8b96-4e0f-bcc8-192eb0594e60,UAM,Other / Unclear
002768f1-8b96-4e0f-bcc8-192eb0594e60,Ogólnopolskim Towarzystwem Ochrony Ptaków,NGO / Association / Foundation
002768f1-8b96-4e0f-bcc8-192eb0594e60,Ornitologii,Other / Unclear
002768f1-8b96-4e0f-bcc8-192eb0594e60,Stowarzyszenie „Grupa EkoLogiczna”,NGO / Association / Foundation
002768f1-8b96-4e0f-bcc8-192eb0594e60,Królewskie Towarzystwo Ochrony Ptaków,NGO / Association / Foundation
002768f1-8b96-4e0f-bcc8-192eb0594e60,Regionalną Dyrekcję Ochrony Środowiska,Government / Public Administration
002768f1-8b96-4e0f-bcc8-192eb0594e60,„Grupa EkoLogiczna”,Company / Business
00500483-f00c-4410-b6f7-8650a003125f,ETW,Other / Unclear
006e7fef-2083-426d-9c1b-1affd27b939e,WSPiA,Other / Unclear
006e7fef-2083-426d-9c1b-1affd27b939e,4 Zespoły,Other / Unclear
00901439-d91a-48e0-903a-26a4253c3a0c,Światową Federację Nurków Podwodnych,NGO / Association / Foundation
00901439-d91a-48e0-903a-26a4253c3a0c,Province of Trento,Other / Unclear
00901439-d91a-48e0-903a-26a4253c3a0c,Interreg Central Europe,International Organization / EU
00901439-d91a-48e0-903a-26a4253c3a0c,CMAS,International Organization / EU
00901439-d91a-48e0-903a-26a4253c3a0c,Integra AV Sp. z o.o.,Company / Business
00901439-d91a-48e0-903a-26a4253c3a0c,Inter,Other / Unclear
00901439-d91a-48e0-903a-26a4253c3a0c,Urzędu Miasta Pucka,Government / Public Administration
00901439-d91a-48e0-903a-26a4253c3a0c,Archaeological Heritage Office of Saxony,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Ministerstwa Gospodarki Morskiej i Żeglugi Śródlądowej,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Radzie Żeglugi Śródlądowej,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,United Nations Economic Commission for Europe,International Organization / EU
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Quality of Information Services,Other / Unclear
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Urząd Żeglugi Śródlądowej w Szczecinie,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,TMO,Other / Unclear
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,RIS,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Ministerstwem właściw,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Rzeczpospolitą Polską Europejskiego Porozumienia,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,AGN,Other / Unclear
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Żeglugi Śródlądowej,Company / Business
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Europejską Komisję Gospodarczą ONZ,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,AMS,Media / Publishing
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,UNECE,International Organization / EU
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Ministrów,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,śródląd,Other / Unclear
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,RIS Dolnej Odry,Government / Public Administration
00be555b-d946-4277-9aa3-974fbdf4a04b,Director Biosimilar Policy & Science,Other / Unclear
00be555b-d946-4277-9aa3-974fbdf4a04b,Związek Pracodawców Innowacyjnych Firm Farmaceutycznych,NGO / Association / Foundation
