ICS_ID,ORG_Entity,Annotated_Category
002768f1-8b96-4e0f-bcc8-192eb0594e60,Ornitologii,
00500483-f00c-4410-b6f7-8650a003125f,ETW,
006e7fef-2083-426d-9c1b-1affd27b939e,4 Zespoły,
00901439-d91a-48e0-903a-26a4253c3a0c,Interreg Central Europe,
00901439-d91a-48e0-903a-26a4253c3a0c,Province of Trento,
00901439-d91a-48e0-903a-26a4253c3a0c,CMAS,
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Żeglugi Śródlądowej,
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,AGN,
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,AGN,
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,TMO,
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Quality of Information Services,
00be555b-d946-4277-9aa3-974fbdf4a04b,Director Biosimilar Policy & Science,
00be555b-d946-4277-9aa3-974fbdf4a04b,Kancelarii WilmerHale,
00e1a4ec-adc6-49fc-ae49-6b858f2651bb,FGB,
00e1a4ec-adc6-49fc-ae49-6b858f2651bb,PKL,
00e1a4ec-adc6-49fc-ae49-6b858f2651bb,SOLEY Sp. o.o.,
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskiego FADN,
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskiego FADN,
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskiego FADN,
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskim FADND,
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskim FADN,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Studiów Podlaskich”,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Studiów Łomżyńskich”,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,"""Biuletynu Historii Pogranicza""",
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybirakami,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Zespół ds.,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybirakami,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Biuletyn Historii Pogranicza”,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybirakami,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Związek Polaków w Kazachstanie,
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,WHISM,
013eaa60-61d9-43d1-ba1c-8152276361f6,IMW UMK,
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Wileńskiej Brygady AK,
014e7d4e-524b-4ed6-9bbf-37a69ac17746,„Łupaszki”,
014e7d4e-524b-4ed6-9bbf-37a69ac17746,9 Warmińskiego Pułku Rozpoznawczego,
0150c37c-4b67-4a47-8e28-048cbe837e67,Enza Żaden Poland Sp. z.o.o.,
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Kazachstan,
017fed8e-f11b-459c-aabc-a232f2e9154b,Forum Od-Nowa,
017fed8e-f11b-459c-aabc-a232f2e9154b,CoopTech Hub,
017fed8e-f11b-459c-aabc-a232f2e9154b,Zespół Doradców Gospodarczych TOR,
0188586e-eb3c-4959-aade-cf1a5602786f,POLEKO,
0188586e-eb3c-4959-aade-cf1a5602786f,MONAR,
01d14c14-8282-4b6e-8086-4024e137b055,DNA,
01d14c14-8282-4b6e-8086-4024e137b055,CLKP,
01d14c14-8282-4b6e-8086-4024e137b055,VISAGE,
01fb40a7-674a-44a7-8e0d-06324491ff6c,HBSC,
01fb40a7-674a-44a7-8e0d-06324491ff6c,HBSC,
01fb40a7-674a-44a7-8e0d-06324491ff6c,HBSC,
01fb40a7-674a-44a7-8e0d-06324491ff6c,Bank Dobrych Praktyk,
01fb40a7-674a-44a7-8e0d-06324491ff6c,Ruch SzPZ,
01fb40a7-674a-44a7-8e0d-06324491ff6c,HBSC,
01fb40a7-674a-44a7-8e0d-06324491ff6c,HBSC,
021216ce-bda7-4662-8399-c777c57d2779,Fido Film,
02296ce6-c6f7-48cf-9179-68a865c9db2d,Ars Polony,
02296ce6-c6f7-48cf-9179-68a865c9db2d,Geopolonistyki,
02296ce6-c6f7-48cf-9179-68a865c9db2d,Geopolonistyką,
02296ce6-c6f7-48cf-9179-68a865c9db2d,„Biuletyn”,
02a466ea-c64e-4c35-bb90-4af8af5b2b5f,IPM,
02b3f0f1-1f26-416a-bf34-b23da0637c74,Dbam,
02c005d3-2291-4cea-bfd5-f5cf9e555d98,Legionów,
02c005d3-2291-4cea-bfd5-f5cf9e555d98,MIK,
02c005d3-2291-4cea-bfd5-f5cf9e555d98,MIK,
02c005d3-2291-4cea-bfd5-f5cf9e555d98,Mitterstill,
02ccc353-72f3-4e48-b9a1-a7688835d32b,Ogólnopolska Sieć Edukacyjna,
02ccc353-72f3-4e48-b9a1-a7688835d32b,Pädagogische Hochschule FHNW,
02ccc353-72f3-4e48-b9a1-a7688835d32b,Brugg,
02ccc353-72f3-4e48-b9a1-a7688835d32b,TIK,
02ccc353-72f3-4e48-b9a1-a7688835d32b,DCU,
02f2ca13-8d0f-4377-ab06-37c37f048f15,KBK,
02f2ca13-8d0f-4377-ab06-37c37f048f15,KBK,
02f2ca13-8d0f-4377-ab06-37c37f048f15,MDK,
031a90be-0625-4492-816c-919e468ba232,GWSH,
031c7df7-f84a-4322-bccf-eb23191e5d13,Scientific,
031c7df7-f84a-4322-bccf-eb23191e5d13,Laboratory,
031c7df7-f84a-4322-bccf-eb23191e5d13,Samarkand,
031c7df7-f84a-4322-bccf-eb23191e5d13,Samarkand,
031c7df7-f84a-4322-bccf-eb23191e5d13,Samarkand,
031c7df7-f84a-4322-bccf-eb23191e5d13,Turkestan,
031c7df7-f84a-4322-bccf-eb23191e5d13,Turkestan,
031c7df7-f84a-4322-bccf-eb23191e5d13,Bishkek,
031c7df7-f84a-4322-bccf-eb23191e5d13,Tashkent,
031c7df7-f84a-4322-bccf-eb23191e5d13,„Nowy Uzbekistan,
031c7df7-f84a-4322-bccf-eb23191e5d13,Successor of Ulugbek Madrasa Oliya”,
031c7df7-f84a-4322-bccf-eb23191e5d13,Taszkient,
031c7df7-f84a-4322-bccf-eb23191e5d13,ICT,
0340878a-5468-4fd8-88da-6822a72c7f12,Strategia Odpowiedzialnego Rozwoju,
0340878a-5468-4fd8-88da-6822a72c7f12,SME Performance Review,
0340878a-5468-4fd8-88da-6822a72c7f12,Polski,
0340878a-5468-4fd8-88da-6822a72c7f12,Uniwersytecie Ekonomicznym w Katowicach,
0340878a-5468-4fd8-88da-6822a72c7f12,Globalnego Monitora Przedsiębiorczości,
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,Jawar Nord Plus,
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,Pipe Experten AS,
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,EFMK,
0341bcd6-d7fa-4cea-8cab-bed15ddf428e,EFMK,
