ICS_ID,ORG_Entity,Cleaned_Entity,entity_lower,Is_Academic,Lemma_Entity,Lemma_Cleaned,Matched_Category
002768f1-8b96-4e0f-bcc8-192eb0594e60,Stowarzyszenie „Grupa EkoLogiczna”,Stowarzyszenie „Grupa EkoLogiczna,stowarzyszenie „grupa ekologiczna,False,stowarzyszenie „ grupa ekologiczna,stowarzyszenie „ grupa ekologiczna,NGO / Association / Foundation
002768f1-8b96-4e0f-bcc8-192eb0594e60,Ogólnopolskim Towarzystwem Ochrony Ptaków,Ogólnopolskim Towarzystwem Ochrony Ptaków,ogólnopolskim towarzystwem ochrony ptaków,False,ogólnopolski towarzystwo ochrona ptak,ogólnopolski towarzystwo ochrona ptak,NGO / Association / Foundation
002768f1-8b96-4e0f-bcc8-192eb0594e60,Regionalną Dyrekcję Ochrony Środowiska,Regionalną Dyrekcję Ochrony Środowiska,regionalną dyrekcję ochrony środowiska,False,regionalną dyrekcję ochrona środowisko,regionalną dyrekcję ochrona środowisko,Government / Public Administration
00901439-d91a-48e0-903a-26a4253c3a0c,Integra AV Sp. z o.o.,Integra AV Sp. z o.o.,integra av sp. z o.o.,False,integra AV Sp . z ograniczona_odpowiedzialność .,integra AV Sp . z o.o.,Company / Business
00901439-d91a-48e0-903a-26a4253c3a0c,Urzędu Miasta Pucka,Urzędu Miasta Pucka,urzędu miasta pucka,False,urząd miasto pucka,urząd miasto pucka,Government / Public Administration
00901439-d91a-48e0-903a-26a4253c3a0c,Światową Federację Nurków Podwodnych,Światową Federację Nurków Podwodnych,światową federację nurków podwodnych,False,światową Federacja nurków podwodny,światową Federacja nurków podwodny,NGO / Association / Foundation
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Rzeczpospolitą Polską Europejskiego Porozumienia,Rzeczpospolitą Polską Europejskiego Porozumienia,rzeczpospolitą polską europejskiego porozumienia,False,rzeczpospolita Polska europejski porozumienie,rzeczpospolita Polska europejski porozumienie,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,RIS,RIS,ris,False,RIS,RIS,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Urząd Żeglugi Śródlądowej w Szczecinie,Urząd Żeglugi Śródlądowej w Szczecinie,urząd żeglugi śródlądowej w szczecinie,False,urząd żeglugi śródlądowa w Szczecin,urząd żeglugi śródlądowa w Szczecin,Government / Public Administration
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,RIS Dolnej Odry,RIS Dolnej Odry,ris dolnej odry,False,RIS dolny odry,RIS dolny odry,Government / Public Administration
00be555b-d946-4277-9aa3-974fbdf4a04b,"Izba Gospodarcza ""FARMACJA POLSKA""","Izba Gospodarcza ""FARMACJA POLSKA","izba gospodarcza ""farmacja polska",False,"izba gospodarcza "" farmacja Polska","izba gospodarcza "" farmacja Polska",Government / Public Administration
00be555b-d946-4277-9aa3-974fbdf4a04b,Związek Pracodawców Innowacyjnych Firm Farmaceutycznych INFARMA,Związek Pracodawców Innowacyjnych Firm Farmaceutycznych INFARMA,związek pracodawców innowacyjnych firm farmaceutycznych infarma,False,związek pracodawca innowacyjny firm farmaceutycznych infarma,związek pracodawca innowacyjny firm farmaceutycznych infarma,NGO / Association / Foundation
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Agencji Łącznikowej FADN,Agencji Łącznikowej FADN,agencji łącznikowej fadn,False,agencja łącznikowa fadny,agencja łącznikowa fadny,Government / Public Administration
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Urzędem ds. Kombatantów i Osób Represjonowanych,Urzędem ds. Kombatantów i Osób Represjonowanych,urzędem ds. kombatantów i osób represjonowanych,False,urząd do_spraw . kombatant i osoba represjonowany,urząd ds. kombatant i osoba represjonowany,Government / Public Administration
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Muzeum Wojska w Białymstoku,Muzeum Wojska w Białymstoku,muzeum wojska w białymstoku,False,muzeum wojsko w Białystok,muzeum wojsko w Białystok,Cultural Institution / Arts
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Muzeum II Wojny Światowej,Muzeum II Wojny Światowej,muzeum ii wojny światowej,False,muzeum II wojna światowy,muzeum II wojna światowy,Cultural Institution / Arts
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Światowy Związek Żołnierzy Armii Krajowej,Światowy Związek Żołnierzy Armii Krajowej,światowy związek żołnierzy armii krajowej,False,światowy związek żołnierzy armia krajowy,światowy związek żołnierzy armia krajowy,Government / Public Administration
