ICS_ID,ORG_Entity,Cleaned_Entity,entity_lower,Is_Academic,Lemma_Entity,Lemma_Cleaned,Matched_Category
002768f1-8b96-4e0f-bcc8-192eb0594e60,Ornitologii,Ornitologii,ornitologii,False,ornitologia,ornitologia,Other / Unclear
00500483-f00c-4410-b6f7-8650a003125f,ETW,ETW,etw,False,et_yg_pały,ETW,Other / Unclear
006e7fef-2083-426d-9c1b-1affd27b939e,4 Zespoły,4 Zespoły,4 zespoły,False,4 zespół,4 zespół,Other / Unclear
00901439-d91a-48e0-903a-26a4253c3a0c,Interreg Central Europe,Interreg Central Europe,interreg central europe,False,interreg central europe,interreg central europe,Other / Unclear
00901439-d91a-48e0-903a-26a4253c3a0c,Province of Trento,Province of Trento,province of trento,False,province of trento,province of trento,Other / Unclear
00901439-d91a-48e0-903a-26a4253c3a0c,CMAS,CMAS,cmas,False,cmas,cmas,Other / Unclear
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Żeglugi Śródlądowej,Żeglugi Śródlądowej,żeglugi śródlądowej,False,żeglugi śródlądowa,żeglugi śródlądowa,Other / Unclear
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,AGN,AGN,agn,False,agna,agna,Other / Unclear
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,AGN,AGN,agn,False,agna,agna,Other / Unclear
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,TMO,TMO,tmo,False,to_ekc,to_ekc,Other / Unclear
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Quality of Information Services,Quality of Information Services,quality of information services,False,Quality of information services,Quality of information services,Other / Unclear
00be555b-d946-4277-9aa3-974fbdf4a04b,Director Biosimilar Policy & Science,Director Biosimilar Policy & Science,director biosimilar policy & science,False,director biosimilar polica & science,director biosimilar polica & science,Other / Unclear
00be555b-d946-4277-9aa3-974fbdf4a04b,Kancelarii WilmerHale,Kancelarii WilmerHale,kancelarii wilmerhale,False,kancelaria wilmerhale,kancelaria wilmerhale,Other / Unclear
00e1a4ec-adc6-49fc-ae49-6b858f2651bb,FGB,FGB,fgb,False,FGB,FGB,Other / Unclear
00e1a4ec-adc6-49fc-ae49-6b858f2651bb,PKL,PKL,pkl,False,PKL,PKL,Other / Unclear
00e1a4ec-adc6-49fc-ae49-6b858f2651bb,SOLEY Sp. o.o.,SOLEY Sp. o.o.,soley sp. o.o.,False,sole Sp . ograniczona_odpowiedzialność .,sole Sp . ograniczona_odpowiedzialność .,Other / Unclear
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskiego FADN,Polskiego FADN,polskiego fadn,False,polski fadny,polski fadny,Other / Unclear
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskiego FADN,Polskiego FADN,polskiego fadn,False,polski fadny,polski fadny,Other / Unclear
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskiego FADN,Polskiego FADN,polskiego fadn,False,polski fadny,polski fadny,Other / Unclear
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskim FADND,Polskim FADND,polskim fadnd,False,polski fadnd,polski fadnd,Other / Unclear
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskim FADN,Polskim FADN,polskim fadn,False,polski fadny,polski fadny,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Studiów Podlaskich”,Studiów Podlaskich,studiów podlaskich,False,studia podlaski,studia podlaski,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Studiów Łomżyńskich”,Studiów Łomżyńskich,studiów łomżyńskich,False,studia łomżyński,studia łomżyński,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,"""Biuletynu Historii Pogranicza""",Biuletynu Historii Pogranicza,biuletynu historii pogranicza,False,biuletyn historia pogranicza,biuletyn historia pogranicza,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybirakami,Sybirakami,sybirakami,False,sybirakami,sybirakami,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Zespół ds.,Zespół ds.,zespół ds.,False,zespół do_spraw .,zespół ds.,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybirakami,Sybirakami,sybirakami,False,sybirakami,sybirakami,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Biuletyn Historii Pogranicza”,Biuletyn Historii Pogranicza,biuletyn historii pogranicza,False,biuletyn historia pogranicza,biuletyn historia pogranicza,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybirakami,Sybirakami,sybirakami,False,sybirakami,sybirakami,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Związek Polaków w Kazachstanie,Związek Polaków w Kazachstanie,związek polaków w kazachstanie,False,związek Polak w Kazachstan,związek Polak w Kazachstan,Other / Unclear
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,WHISM,WHISM,whism,False,WHISM,WHISM,Other / Unclear
013eaa60-61d9-43d1-ba1c-8152276361f6,IMW UMK,IMW UMK,imw umk,False,Imwa dmk,Imwa dmk,Other / Unclear
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Wileńskiej Brygady AK,Wileńskiej Brygady AK,wileńskiej brygady ak,False,wileńsko brygada AK,wileńsko brygada AK,Other / Unclear
014e7d4e-524b-4ed6-9bbf-37a69ac17746,„Łupaszki”,Łupaszki,łupaszki,False,łupaszki,łupaszki,Other / Unclear
014e7d4e-524b-4ed6-9bbf-37a69ac17746,9 Warmińskiego Pułku Rozpoznawczego,9 Warmińskiego Pułku Rozpoznawczego,9 warmińskiego pułku rozpoznawczego,False,9 warmiński pułko rozpoznawczy,9 warmiński pułko rozpoznawczy,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,Enza Żaden Poland Sp. z.o.o.,Enza Żaden Poland Sp. z.o.o.,enza żaden poland sp. z.o.o.,False,enza żaden poland Sp . z.o.o .,enza żaden poland Sp . z.o.o. .,Other / Unclear
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Kazachstan,G.O. Kazachstan,g.o. kazachstan,False,gio . kazachstan,gio . kazachstan,Other / Unclear
017fed8e-f11b-459c-aabc-a232f2e9154b,Forum Od-Nowa,Forum Od-Nowa,forum od-nowa,False,forum od-nowa,forum od-nowa,Other / Unclear
017fed8e-f11b-459c-aabc-a232f2e9154b,CoopTech Hub,CoopTech Hub,cooptech hub,False,cooptech hub,cooptech hub,Other / Unclear
017fed8e-f11b-459c-aabc-a232f2e9154b,Zespół Doradców Gospodarczych TOR,Zespół Doradców Gospodarczych TOR,zespół doradców gospodarczych tor,False,zespół doradce gospodarczy toryd_amera,zespół doradce gospodarczy toryd_amera,Other / Unclear
0188586e-eb3c-4959-aade-cf1a5602786f,POLEKO,POLEKO,poleko,False,poleko,poleko,Other / Unclear
