ICS_ID,ORG_Entity
00153fbd-82f7-48c4-b5bd-e830bc390244,Medycyna Weterynaryjna
002768f1-8b96-4e0f-bcc8-192eb0594e60,Facebook Zakładu Biologii i Ekologii Ptaków UAM
002768f1-8b96-4e0f-bcc8-192eb0594e60,Stowarzyszenie „Grupa EkoLogiczna”
002768f1-8b96-4e0f-bcc8-192eb0594e60,Ogólnopolskim Towarzystwem Ochrony Ptaków
002768f1-8b96-4e0f-bcc8-192eb0594e60,Regionalną Dyrekcję Ochrony Środowiska
002768f1-8b96-4e0f-bcc8-192eb0594e60,Ornitologii
002768f1-8b96-4e0f-bcc8-192eb0594e60,Komitetu Biologii Środowiskowej i Ewolucyjnej PAN
00500483-f00c-4410-b6f7-8650a003125f,ETW
006e7fef-2083-426d-9c1b-1affd27b939e,4 Zespoły
00901439-d91a-48e0-903a-26a4253c3a0c,Interreg Central Europe
00901439-d91a-48e0-903a-26a4253c3a0c,Province of Trento
00901439-d91a-48e0-903a-26a4253c3a0c,Integra AV Sp. z o.o.
00901439-d91a-48e0-903a-26a4253c3a0c,Urzędu Miasta Pucka
00901439-d91a-48e0-903a-26a4253c3a0c,VR
00901439-d91a-48e0-903a-26a4253c3a0c,CMAS
00901439-d91a-48e0-903a-26a4253c3a0c,Światową Federację Nurków Podwodnych
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Żeglugi Śródlądowej
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Rzeczpospolitą Polską Europejskiego Porozumienia
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,AGN
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,AGN
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,TMO
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,RIS
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Quality of Information Services
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Urząd Żeglugi Śródlądowej w Szczecinie
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,Akademią Morską w Szczecinie
00a8ec3d-d9ed-4754-8ec0-0e1835125d89,RIS Dolnej Odry
00be555b-d946-4277-9aa3-974fbdf4a04b,Instytutu Maxa Plancka
00be555b-d946-4277-9aa3-974fbdf4a04b,"Izba Gospodarcza ""FARMACJA POLSKA"""
00be555b-d946-4277-9aa3-974fbdf4a04b,Związek Pracodawców Innowacyjnych Firm Farmaceutycznych INFARMA
00be555b-d946-4277-9aa3-974fbdf4a04b,Director Biosimilar Policy & Science
00be555b-d946-4277-9aa3-974fbdf4a04b,Kancelarii WilmerHale
00e1a4ec-adc6-49fc-ae49-6b858f2651bb,FGB
00e1a4ec-adc6-49fc-ae49-6b858f2651bb,PKL
00e1a4ec-adc6-49fc-ae49-6b858f2651bb,SOLEY Sp. o.o.
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskiego FADN
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskiego FADN
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskiego FADN
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskim FADND
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Polskim FADN
0102b7cb-6f3a-4787-8ce6-f160d4259d0e,Agencji Łącznikowej FADN
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Łomżyńskiego Towarzystwa Naukowego
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Studiów Podlaskich”
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Studiów Łomżyńskich”
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Rady Naukowej Fundacji Kresy-Syberia
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,"""Biuletynu Historii Pogranicza"""
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybirakami
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Urzędem ds. Kombatantów i Osób Represjonowanych
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Muzeum Wojska w Białymstoku
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Zespół ds.
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybirakami
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Studia Podlaskie”
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Biuletyn Historii Pogranicza”
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,„Studia Łomżyńskie”
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Sybirakami
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,Związek Polaków w Kazachstanie
0115f663-3b9a-4ff0-a84c-b0ceffb894d7,WHISM
013eaa60-61d9-43d1-ba1c-8152276361f6,Instytucie Medycyny Weterynaryjnej UMK
013eaa60-61d9-43d1-ba1c-8152276361f6,IMW UMK
013eaa60-61d9-43d1-ba1c-8152276361f6,Uniwersytetem Medycznym w Poznaniu
013eaa60-61d9-43d1-ba1c-8152276361f6,Instytut Medycyny Weterynaryjnej UMK
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Wileńskiej Brygady AK
014e7d4e-524b-4ed6-9bbf-37a69ac17746,„Łupaszki”
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Muzeum II Wojny Światowej
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Światowy Związek Żołnierzy Armii Krajowej
014e7d4e-524b-4ed6-9bbf-37a69ac17746,Izby Tradycji
014e7d4e-524b-4ed6-9bbf-37a69ac17746,9 Warmińskiego Pułku Rozpoznawczego
0150c37c-4b67-4a47-8e28-048cbe837e67,Instytutu Nauk Ogrodniczych
0150c37c-4b67-4a47-8e28-048cbe837e67,Instytut Ogrodnictwa w Skierniewicach
0150c37c-4b67-4a47-8e28-048cbe837e67,Enza Żaden Poland Sp. z.o.o.
0150c37c-4b67-4a47-8e28-048cbe837e67,Grupa Producencka VegaPOL
0150c37c-4b67-4a47-8e28-048cbe837e67,G.O. Kazachstan
016c1a43-96b7-4356-8ec1-28474e541a6a,Instytutu Teatralnego
016c1a43-96b7-4356-8ec1-28474e541a6a,Instytucie Teatralnym
016c1a43-96b7-4356-8ec1-28474e541a6a,Youtube Instytutu Teatralnego
017fed8e-f11b-459c-aabc-a232f2e9154b,Forum Od-Nowa
017fed8e-f11b-459c-aabc-a232f2e9154b,Instytutu Transportu Samochodowego
017fed8e-f11b-459c-aabc-a232f2e9154b,Wydział Nauk Ekonomicznych UW
017fed8e-f11b-459c-aabc-a232f2e9154b,CoopTech Hub
017fed8e-f11b-459c-aabc-a232f2e9154b,Fundacji Blisko
017fed8e-f11b-459c-aabc-a232f2e9154b,Zespół Doradców Gospodarczych TOR
0188586e-eb3c-4959-aade-cf1a5602786f,Remondis sp. z o.o.
0188586e-eb3c-4959-aade-cf1a5602786f,POLEKO
0188586e-eb3c-4959-aade-cf1a5602786f,Ośrodkiem Teatralnym Kana
0188586e-eb3c-4959-aade-cf1a5602786f,Teatru Kana
0188586e-eb3c-4959-aade-cf1a5602786f,Ośrodka Teatralnego Kana
0188586e-eb3c-4959-aade-cf1a5602786f,MONAR
0188586e-eb3c-4959-aade-cf1a5602786f,Ośrodkiem Teatralnym Kana
0188586e-eb3c-4959-aade-cf1a5602786f,Ośrodkiem Teatralnym Kana
0188586e-eb3c-4959-aade-cf1a5602786f,Szczecińskiego Budżetu Obywatelskiego
01d14c14-8282-4b6e-8086-4024e137b055,DNA
01d14c14-8282-4b6e-8086-4024e137b055,Centralne Laboratorium Kryminalistyczne Policji w Warszawie
01d14c14-8282-4b6e-8086-4024e137b055,CLKP
01d14c14-8282-4b6e-8086-4024e137b055,VISAGE
01fb40a7-674a-44a7-8e0d-06324491ff6c,HBSC
01fb40a7-674a-44a7-8e0d-06324491ff6c,HBSC
01fb40a7-674a-44a7-8e0d-06324491ff6c,HBSC
01fb40a7-674a-44a7-8e0d-06324491ff6c,Krajowy Certyfikat SzPZ
01fb40a7-674a-44a7-8e0d-06324491ff6c,Przedszkole Promujące Zdrowie
01fb40a7-674a-44a7-8e0d-06324491ff6c,Centralnej Kapituły Krajowego Certyfikatu Szkoły Promującej Zdrowie
01fb40a7-674a-44a7-8e0d-06324491ff6c,Krajowym Certyfikatem SzPZ
01fb40a7-674a-44a7-8e0d-06324491ff6c,Zespół ds. Promocji Zdrowia
01fb40a7-674a-44a7-8e0d-06324491ff6c,Szkole
01fb40a7-674a-44a7-8e0d-06324491ff6c,Bank Dobrych Praktyk
01fb40a7-674a-44a7-8e0d-06324491ff6c,Ruch SzPZ
01fb40a7-674a-44a7-8e0d-06324491ff6c,HBSC
01fb40a7-674a-44a7-8e0d-06324491ff6c,HBSC
