token,count
i,330
o,253
centrum,134
z,121
instytutu,121
sp,114
of,109
s,105
a,99
pan,99
instytut,95
university,90
rozwoju,75
rady,66
nauk,65
uniwersytetu,64
polskiego,59
ds,57
wydziału,57
polska,56
rp,54
ochrony,53
komisji,51
badań,48
uniwersytet,47
polskiej,47
akademii,46
środowiska,44
ministerstwa,43
katedry,41
instytucie,39
wydziale,38
muzeum,37
w,37
kultury,36
ministerstwo,36
politechniki,35
towarzystwa,35
spraw,34
polskie,34
europejskiej,34
urząd,34
instytutem,32
radio,32
laboratorium,32
stowarzyszenie,31
sa,31
narodowego,31
urzędu,30
stowarzyszenia,29
pib,29
im,29
europejskiego,28
fundacji,28
związku,27
technologii,27
edukacji,27
miasta,26
international,26
research,26
polskim,25
polski,24
inżynierii,24
for,24
teatr,23
zdrowia,23
nauki,23
the,22
agencji,22
województwa,22
fundacja,22
institute,22
towarzystwo,22
european,22
szkoły,22
national,21
komitetu,21
grupy,21
historii,21
and,21
uj,21
pracy,20
rada,19
społecznej,19
chemii,19
wydział,19
katedrze,19
grupa,18
fizyki,18
policji,18
szkoła,18
matematyki,18
group,18
bezpieczeństwa,18
sztuki,18
de,18
krajowej,18
umcs,17
pl,17
pracowni,17
sieci,17
uw,17
agencja,17
narodowej,17
urzędem,16
na,16
uniwersytecie,16
zakład,16
bank,16
pedagogiki,16
polityki,16
association,16
zakładu,16
fundacją,15
state,15
organizacji,15
biura,15
tvp,15
informatyki,15
zespół,15
szczecin,14
akademia,14
komisja,14
krakowskiej,14
funduszu,14
europejską,14
ośrodek,14
ministerstwie,14
radzie,14
fundację,14
zakładzie,14
polską,14
zespołu,13
politechnice,13
uniwersytetem,13
administracji,13
biuro,13
komitet,13
międzynarodowej,13
danych,13
katedra,13
praw,13
uwr,13
ue,13
ukw,13
umk,13
sportu,13
biologii,13
biblioteki,12
rolnictwa,12
e,12
zarządzania,12
radę,12
ministerstwem,12
zagranicznych,12
unii,12
prawa,12
ośrodka,12
polskich,12
center,12
agencję,12
szkole,12
pw,12
sił,12
uksw,12
science,12
teatru,12
radia,11
studio,11
poland,11
rzecz,11
narodowym,11
dialogu,11
departamentu,11
obrony,11
technologies,11
gospodarki,11
us,11
społecznych,11
society,11
dziedzictwa,11
człowieka,11
chorób,11
zbrojnych,11
forum,11
do,11
transportu,10
pge,10
związek,10
kghm,10
