Entity_ID,ORG_Entity,Matched_Category,Annotated_Category
0,POPW,Other / Unclear,
1,DG REGIO,Other / Unclear,
2,RILEM,Other / Unclear,
3,EFOE,Other / Unclear,
4,Aiut,Other / Unclear,
9,Idealia,Other / Unclear,
12,TMT’s,Other / Unclear,
13,Advisory Board,Other / Unclear,
15,SSRN,Other / Unclear,
16,Bloomberga,Other / Unclear,
17,IWNiRZ,Other / Unclear,
18,IGiG UPWr,Other / Unclear,
19,SBWPwP,Other / Unclear,
20,Zero-G studio,Other / Unclear,
21,Klastra Obróbki Metali,Other / Unclear,
25,WIM,Other / Unclear,
26,Inspekcja Handlowa,Other / Unclear,
28,DCTDA,Other / Unclear,
29,Zarząd Morskich Portów Szczecin,Other / Unclear,
30,LDL,Other / Unclear,
32,IHAR-PIB,Other / Unclear,
33,Eurostatu,Other / Unclear,
34,Migrant Info Point,Other / Unclear,
35,KFiIM,Other / Unclear,
36,EIE,Other / Unclear,
37,Ministry of Development,Other / Unclear,
39,BOHAMET,Other / Unclear,
40,Centrum Kształcenia Ustawicznego,Other / Unclear,
41,PGE Elektrowni Turów,Other / Unclear,
42,GUS,Other / Unclear,
43,Garment,Other / Unclear,
46,Związek Sybiraków,Other / Unclear,
47,JYU,Other / Unclear,
48,PWRUL,Other / Unclear,
49,ŁOM,Other / Unclear,
50,Zespołu Eksperckiego,Other / Unclear,
51,SYSABA,Other / Unclear,
52,Generalnej Dyrekcji Służby Więziennej,Other / Unclear,
53,RES,Other / Unclear,
55,GALOIS,Other / Unclear,
56,Nissan,Other / Unclear,
60,CPT ABW,Other / Unclear,
62,OPBR,Other / Unclear,
63,IFP UZ,Other / Unclear,
64,QNA,Other / Unclear,
66,NOT,Other / Unclear,
68,Google Brain,Other / Unclear,
71,ISW,Other / Unclear,
72,E-RIHS,Other / Unclear,
73,KSiEO,Other / Unclear,
74,Ordo Carmelitarum Discalceatorum,Other / Unclear,
75,KGHM,Other / Unclear,
76,Polskim Związku Łowieckim,Other / Unclear,
77,CPE,Other / Unclear,
78,Fundacją Azja-Pacyfik,Other / Unclear,
79,Centrum Rzeźby Polskiej,Other / Unclear,
81,YHE SA,Other / Unclear,
82,Bonimed,Other / Unclear,
83,UMCS Lublin,Other / Unclear,
84,Scopus,Other / Unclear,
85,Etorki S.L.,Other / Unclear,
86,CNH,Other / Unclear,
87,PNBS,Other / Unclear,
89,Comarch,Other / Unclear,
91,Uniwersytecie Trzeciego Wieku,Other / Unclear,
92,Strabag,Other / Unclear,
93,The State Planting Service,Other / Unclear,
94,KNiME,Other / Unclear,
95,Photon,Other / Unclear,
96,OPMiM,Other / Unclear,
97,UNEP,Other / Unclear,
98,GSMU,Other / Unclear,
99,MGMiŚ,Other / Unclear,
100,Galwamet Konin,Other / Unclear,
102,Carrefour,Other / Unclear,
103,AMZ Kutno,Other / Unclear,
104,KIC Raw Materials,Other / Unclear,
105,Phoenix,Other / Unclear,
106,Funduszu Wyszehradzkiego,Other / Unclear,
107,IAG,Other / Unclear,
108,WRO,Other / Unclear,
109,Telewizja Polska,Other / Unclear,
110,Asahi,Other / Unclear,
111,ESSR,Other / Unclear,
112,Usługi Ekologiczne Alojzy Przemyski,Other / Unclear,
115,AMED,Other / Unclear,
117,Polonii harbińskiej,Other / Unclear,
